current_content,label1,label2
那先确认一下，您跟这个张先生，就是7月7号结婚吗？对，登记上，所以就是这个时间7月7号，后来小朋友出,Chapter重要事件下的Section结婚,Chapter重要事件下的Section结婚
来小朋友出生，然后原本是住婆家。那住哪邊?佛家是哪一個?民生路？那您提到是說原本在那邊住，所以你們有,Chapter重要事件下的Section怀孕,Chapter重要事件下的Section居住情况
所以你們有搬出來，但沒有搬，就是你有搬，他沒有搬，是這個情況嗎？?原本說好一起搬出來，後來，因為他來,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section居住情况
，因為他來，可是他。就是说嘴上说要帮忙整理，可是实际上没有行动，变成是我一个人在整理。对，那实际上你,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section居住情况
那实际上你也并没有对他，也并没有真的搬过来。对，好，然后那他为什么？因为离婚就是坦白说时间并不正常，,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section搬家情况
并不正常，他突然很想有跟你提离婚。为什么会提这个事情，他觉得我没有体量他对。然后再来就是他觉得在金钱,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section提离婚
觉得在金钱上面压力很大，经济压力上面很大，没有体谅。他是什么意思？他就说因为像在他们家的时候，因为他,Chapter重要事件下的Section提离婚,Chapter财产状况下的Section双方财产关系
候，因为他们家环境真的。很糟是怎麼說妳提到說，我的東西根本就沒有地方放還放在走廊上，甚至他的房間根本,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
的房間根本也沒有地方可以放嬰兒床，然後我去了他家之後不是感冒，不然就是因為那時候懷孕後來又出血。然后,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section怀孕
出血。然后身上就是长一颗一颗的东西，就是疹子这样发炎之类的对，然后我又流鼻血。对，就是在那边我身体状,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
出血。然后身上就是长一颗一颗的东西，就是疹子这样发炎之类的对，然后我又流鼻血。对，就是在那边我身体状,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
边我身体状况变得非常糟，是对那像洗澡。只能到她媽媽房間，因為她媽媽房間有熱水對。然後外面的廁所是冷水,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
廁所是冷水，可是她媽媽早上時間在睡，上午的時間都是在睡覺的。我根本進去，她就說進去洗沒有差。可是很不,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
。可是很不好意思，也覺得很奇怪啦。可是我發現，我好像就有吵到他媽媽他媽媽有感覺有動靜。所以我當然不敢,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
我當然不敢進去，那就變成是說因為懷孕期間我體溫非常高，我就只好用冷水沖。我一個大人，我也跟他說，我一,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section怀孕
他說，我一個大人，我在這裡生活都會有那麼多的狀況。那你要讓一個嫩嬰在這裡生活怎麼？可能是我們沒有把握,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section照顾小孩
們沒有把握，他一定不會生病耶對對。所以我才會跟他堅持說要出去找房子，租房子對那再來就是東西沒地方放嘛,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
沒地方放嘛，我的東西一直堆在那個他們的外面。而且當初去婆家住的時候，原本是婆婆跟她爸爸要去新的家住結,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
新的家住結果，婆婆去不到三天宿在那邊睡不好，所以就回來。所以等於說，公公有去，但婆婆沒去，而且後來我,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
新的家住結果，婆婆去不到三天宿在那邊睡不好，所以就回來。所以等於說，公公有去，但婆婆沒去，而且後來我,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
而且後來我發現婆婆其實打從一開始，就沒有打算想要去，我就有一種感覺。我好像是被。哄去他們家住的對對了,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
住的對對了解。那他們家空間不大三個人擠我先生的房間，我們兩個在裡面進出，要一人進，一人先出來，另外一,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
來，另外一個人才把出去。了解环境比较小，然后可能旧了啦，所以环境不太好。而且它是莱莱大厦，那个以前是,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
那个以前是救生场。這個叫來來大廈，然後是非常舊的商場樓下不是流浪漢二樓還是三樓是酒店，他們的走廊也都,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
的走廊也都沒有監視器，唯獨有監視器的地方只有電梯，那小孩子怎麼？可能在那個環境生活？這些我都跟他分析,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section居住情况
都跟他分析過了。后来他看到，因为我后来出血动，身体状况越来越早，他才同意说好出去找房子租房子。是，那+B26,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section居住情况
子。是，那你们也是当时才结婚吗？因为我看登记时间是7月7号。对，所以你们是讲好了，然后去办结婚登记。,Chapter重要事件下的Section结婚,Chapter重要事件下的Section结婚
结婚登记。对，就是差不多在要搬出去的那附近。对，OK好，不好意思，你继续说确认一下。对，然后我们讲好,Chapter重要事件下的Section结婚,Chapter重要事件下的Section结婚
后我们讲好要搬了嘛。是他就是搬的当天，他东西也都还没有包好，因为我肚子很大，所以我能包的我尽量用对对,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
尽量用对对。可是他就是说他就搬家公司的人都已经到现场，他就说有那么急吗？啊，有的东西反正之后在那拿过,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
尽量用对对。可是他就是说他就搬家公司的人都已经到现场，他就说有那么急吗？啊，有的东西反正之后在那拿过,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
后在那拿过去就好了。嗯，对，这句话从就是我怀孕到他家住之后。他就一直在重複這些話，那到了新的家，我跟,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section怀孕
的家，我跟他講說要趕緊整理。因為小孩子出生之後，我們會很忙，我們要照顧他。那他也要上班，所以我們要趁,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
以我們要趁這個時間趕快全部先整理好，能整理多少算多少。那他的意思就是有那麼急嗎？就連組一個衣櫃。架兩,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
衣櫃。架兩個肚子，他跟我吵三個小時，因為我已經先看好，說明書。那時候他在睡午覺，我已經看好，說明書，,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
，說明書，所以我告訴他他就煮在哪一個位置上面，他就跟我講說這樣煮很奇怪，怎樣然後跟我吵三個小時，但他,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
小時，但他沒有說好，那今天就先不煮了，最後我是自己煮的。對那時候，我已經將近八個月大的肚子。五十几箱,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
。五十几箱的箱子、大箱子，所有的东西全部都是我自己整理他来帮忙的。唯一帮忙的就是倒垃圾次数不到四五次,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
不到四五次了解。但是这个跟他认为你没有体谅，他到底是。對我跟他反應說，就是請他就是一起幫忙，就是他就,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
，就是他就是說有那麼緊嗎，一定要現在嗎？就是因為他覺得，他下班了，他很累，他就是要休息。對他想要坐著,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
他想要坐著看電視吃飯，然後滑個手機去睡覺就這樣，那他覺得他要休息了，你跟他講這個搬東西要處理這個東西,Chapter重要事件下的Section搬家情况,Chapter重要事件下的Section搬家情况
理這個東西要處理這件事情是沒有體諒他這樣。對。好，那再來是您提到說第二個是經濟上嗎？還是對經濟上，因,Chapter重要事件下的Section搬家情况,Chapter财产状况下的Section双方财产关系
經濟上，因為我懷孕期間，原本還有上班，但是因為我去他家之後身體狀況變很糟，然後我影響到我上班表現那最,Chapter财产状况下的Section当事人财产,Chapter重要事件下的Section怀孕
班表現那最後我也只能離職，因為我在他們家睡的時候，我每天都在聽隔壁的講電話看電視。是，然后我就连续三,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section怀孕
我就连续三天我都有吃安眠药，可是我连续三天都没有办法睡。后来我眼睛还肿起来，是这些，他都看到了，结果,Chapter重要事件下的Section居住情况,Chapter重要事件下的Section怀孕
到了，结果他跟我说，不要把这些问题怪到他家去，但是这些状况就是在他家发生，他也看看到那现在出来租房子,Chapter财产状况下的Section双方财产关系,Chapter重要事件下的Section怀孕
出来租房子。他說，我不體諒他。可是當初我們出來租房子的時候，金額上面我也有跟他討論，我就跟他講，因為,Chapter财产状况下的Section双方财产关系,Chapter财产状况下的Section双方财产关系
他講，因為現在我沒有工作了，變成是說經濟壓力會在他身上。那我也跟他說這個金額你可以我們才租。所以這個,Chapter财产状况下的Section双方财产关系,Chapter财产状况下的Section双方财产关系
。所以這個部分他也是說後來，他說OK.結果現在跟我說，反正他就是這個月底之後不負責。然後在訊息上面又,Chapter财产状况下的Section双方财产关系,Chapter财产状况下的Section对方财产
訊息上面又跟我說什麼，就是每個月給我兩萬塊我不知道他指的這兩萬塊是要拿來是要把小孩子丟給我還是怎樣是,Chapter财产状况下的Section双方财产关系,Chapter财产状况下的Section对方财产
還是怎樣是對。了解好，所以他是说你12月底前一定要处理，就是希望离婚处理离婚。对，反正12月底之后，,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section提离婚
月底之后，我不知道他这个月有没有打算要付房租。对，反正就是12.因为我们我们之间还有养狗对对，他说反,Chapter重要事件下的Section提离婚,Chapter财产状况下的Section双方财产关系
对，他说反正12月底之后把狗也丢，也会丢过来。對就是您提到的簡單來講，就是他就是不負責了，真的是滿不,Chapter重要事件下的Section提离婚,Chapter财产状况下的Section双方财产关系
真的是滿不負責的那他嘴上說，會負責小孩的費用講真的，他前面這段時間確實有負責，我在醫院生產部分這些錢,Chapter财产状况下的Section双方财产关系,Chapter财产状况下的Section双方财产关系
部分這些錢，他確實有付，可是問題是不是我不願意幫忙一起負擔。對那他就覺得這些壓力太大，他現在就是不想,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
在就是不想過了。那小孩子要住哪？?他說要帶去他家住，我能放心嗎？?我在月子中心的錢是我家人出的，不是,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
出的，不是他出的，月子中心，他唯一出的就只有後續的一些雜。費而已，就是我吃藥的錢，吃中藥的錢。了解好,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
錢。了解好，所以基本上他會認為說，你們可能在生活上好像他其實聽起來，很想要繼續住民生路無論如何，然後,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
如何，然後也希望帶孩子回去。所以那我在月中其實，我有跟他講說，我們就是因為我們前面吵架嘛，吵得很兇到,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
吵得很兇到後面真的是沒有話講。然後我後來反正就是要繳費的時候，我就跟他講說要繳哪些費用了。就这样，然,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
就这样，然后他说看到那些讯息，他很烦，但是我能怎么办？我如果不讲，他，也不会记得是了解那讯息，因为赖,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
息，因为赖的讯息我不知道要怎么传给你们。對後面截圖或文字檔都可以，等一下，等一下，我看一下。就是他這,Chapter财产状况下的Section财产分配与抚养要求,Chapter财产状况下的Section双方财产关系
。就是他這幾天打的很多，因為有些事情，其實像我初月中的第一天，他就跟我講離婚這件事了。你初月中，所以,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section提离婚
月中，所以大概在十月底十月多十月十五號對。你月中也住比较短的时间一个月，可是小朋友不是10月12号出,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section怀孕
月12号出生吗？对，然后我在医院待了，因为我不复产，然后待了三天还是四天，然后接着就去那个月中月中了,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section怀孕
月中月中了。对月中时间他10月的时候还有来个几次，10月底之后，对，都没有来。甚至沒有問過小孩的狀況,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section照顾小孩
小孩的狀況我也跟他講說，你在十月底之後，你也都沒有詢問過我小孩的狀況對還是我主動傳小孩子的照片，影片,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section照顾小孩
照片，影片給他的然後他問我說這樣怪我囉他現在就是工作很忙。沒有那麼多時間什麼的。就是他有訊息，然後1,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section照顾小孩
息，然後15號那天他跟我談這些，因為他就沒有打算過來做。原本講說講好，就是要過來做結果沒有要來，那我,Chapter重要事件下的Section提离婚,Chapter重要事件下的Section照顾小孩
要來，那我也跟他說，因為我手受傷，我說，那你至少早上來幫小孩子洗澡。你就下班来帮小孩子思找，那如果我,Chapter重要事件下的Section照顾小孩,Chapter重要事件下的Section照顾小孩
，那如果我有事的时候，你就是陪小孩一起，然后我出门，我赶快把事情办完，我就赶紧回来。因为其实我就是去,Chapter重要事件下的Section照顾小孩,Chapter重要事件下的Section照顾小孩
最常見的途徑也是雙方同意離婚，我們叫協議離婚了。 如果你們真的要用談的，他就會把是您這邊的LINE沒有關掉嗎？ 有我沒有開我這邊也全部關掉了，怎麼一直有聲音。 好，等我一下。 好，没关系，我们再确认一下。,Chapter律师建议下的Section离婚建议,Chapter律师建议下的Section离婚建议
所以离婚的话就是双方把所有最常见也是协议离婚啦。 就是双方把所有条件谈定，包含财产分配，包含子女监护、探视、抚养费，甚至包含他外遇、侵害、配偶权的赔付等等的都谈定。,Chapter律师建议下的Section离婚建议,Chapter律师建议下的Section离婚建议
然后我们写成协议书，经过证人见证、出户证登记就都有效。 就算你们约定的条件、内容了，跟法律规定的不完全一样，都没有关系。,Chapter律师建议下的Section离婚建议,Chapter律师建议下的Section离婚建议
